my_row_id,Zip_Code,Population,Median_Income,Median_Age,Bachelor_Degree,Total_Education_Population,Graduate_Professional_Degree,White_Alone,Black_Alone,Hispanic_Latino,Employment_Status,Unemployment,Total_Health_Insurance_Coverage,Without_Health_Insurance,Total_Pop_Poverty_Status,Below_Poverty_Level,Median_Home_Value,Median_Gross_Rent,Owner_Occupied_Units,Renter_Occupied_Units,Means_of_Transportation_to_Work,Total_Pop_Marital_Status,Married_Population,ZCTA
27486,77663,888,,42.5,317,617,121,888,0,888,692,0,888,0,888,129,233700,,265,124,,692,106,77663
27487,77664,2621,64643,49.4,831,1869,88,2304,55,2276,2209,136,2621,0,2614,270,123100,1115,958,92,30765,2260,367,77664
27488,77665,6593,70564,41.6,1294,4162,227,5046,36,4903,5258,249,6457,0,6468,1254,161100,1000,1613,446,83045,5395,1097,77665
27489,77701,12955,46653,36.8,2826,8639,582,3141,5839,1340,10060,381,12896,114,12841,3152,69100,911,2446,2098,114240,10254,2251,77701
27490,77702,3234,61042,40.4,431,2139,109,1057,1125,842,2501,61,3234,38,3234,346,152800,975,857,612,32925,2545,399,77702
27491,77703,11704,27972,32.2,3093,7101,329,1975,7435,634,8484,283,11551,64,11489,4566,87100,838,2027,2318,77655,8748,2113,77703
27492,77705,38228,47311,38.3,7163,28178,1700,15634,18038,11322,32914,641,26670,101,25242,5182,114600,823,5987,4445,223985,33239,11353,77705
27493,77706,29693,70772,38.3,3229,20138,1698,18623,7055,16730,23644,811,29406,94,29475,3151,217200,1098,7605,5680,221265,23929,3997,77706
27494,77707,18124,64545,34.8,3017,11454,942,6783,6995,5242,13382,411,17596,325,17627,3182,147900,1118,4372,1926,145495,13841,2325,77707
27495,77708,13284,56151,36.6,2854,9066,746,3112,9089,2782,10484,243,13193,20,13142,2393,163300,990,2773,2532,132690,10773,1930,77708
27496,77713,14458,84710,35.8,2006,9497,1070,8130,2931,7325,10741,226,14337,103,14251,1862,205200,1316,3605,2008,156430,10957,1347,77713
27497,77801,15163,30849,22.8,1663,6623,479,9736,2761,5590,11552,493,15163,0,15144,6729,173200,923,881,5177,111865,11773,3925,77801
27498,77802,24226,65150,37.5,3157,16744,920,19353,1922,15668,20164,262,23782,6,23782,3187,223000,1193,5688,5216,193980,20475,3809,77802
27499,77803,32130,51914,30.4,5047,19102,1069,18172,7835,5044,23596,935,30160,332,30130,8516,120000,1122,5691,3720,258350,24000,5417,77803
27500,77807,12949,71966,32.2,1321,8863,541,7783,2023,5701,10682,376,11481,0,11508,1961,220700,1189,2780,1897,105885,10725,2223,77807
27501,77808,14666,92868,41.4,2343,10677,637,12314,730,9846,11841,230,14626,62,14574,786,316100,1050,4992,468,146065,11971,1183,77808
27502,77830,2815,103635,40.9,520,1896,194,2474,80,2307,2275,26,2805,5,2805,163,304400,975,891,200,49225,2323,341,77830
27503,77831,3095,58250,50.3,754,2233,234,2629,329,2239,2440,21,3095,20,3095,570,113000,934,1063,101,49075,2481,215,77831
27504,77833,28884,63474,40.1,4690,18619,1588,20507,5112,17384,23254,411,27947,200,26618,3556,232100,985,8017,3356,238550,23484,3946,77833
27505,77835,2912,80385,43.7,611,2035,179,2567,92,2560,2280,41,2912,0,2912,182,288800,1318,1028,122,27365,2280,273,77835
27506,77836,12042,75357,44.9,2791,8553,552,9276,1215,7780,9576,109,11851,7,11782,1201,181900,978,3991,941,119870,9706,1160,77836
27507,77837,1439,53523,47.2,225,986,67,726,644,613,1147,44,1422,0,1422,90,111600,854,394,195,17230,1219,106,77837
