Zip_Code,Count
98327,2
96734,2
60156,2
92339,2
95670,2
95492,2
95032,2
96789,2
95316,2
83301,2
92663,2
90717,2
94538,2
93446,2
90270,2
32034,2
53029,2
92117,2
95337,2
93460,2
93003,2
90712,2
98033,2
93305,2
97086,2
94518,2
77433,2
99516,2
89148,2
95148,2
90710,2
93706,2
90026,2
89044,2
90047,2
97015,2
93030,2
89511,2
91387,2
94564,2
94585,2
86305,2
95003,2
90302,2
97504,2
91910,2
95358,2
44903,2
90278,2
92325,2
95658,2
90240,2
96813,2
95219,2
99653,2
80016,2
92027,2
89012,2
92154,2
79932,2
90745,2
85022,2
96826,2
90621,2
35756,2
95051,2
60102,2
98802,2
89178,2
93561,2
77469,2
98092,2
92572,2
92627,2
91351,2
91007,2
95688,2
93637,2
98335,2
90232,2
92111,2
80919,2
91355,2
92230,2
94541,2
80129,2
96094,2
95949,2
94806,2
95207,2
89014,2
93611,2
92780,2
90042,2
91945,2
93510,2
97478,2
89074,2
95610,2
93710,2
90740,2
91340,2
95119,2
01520,2
83709,2
92382,2
99507,2
90041,2
95829,2
28270,2
74804,2
91024,2
92647,2
95682,2
90275,2
98391,2
98199,2
97756,2
92270,2
92276,2
91731,2
76180,2
94507,2
95403,2
98248,2
90022,2
96706,2
98023,2
92240,2
95237,2
90732,2
92210,2
95677,2
92082,2
80004,2
97306,2
93704,2
95624,2
95946,2
60641,2
94044,2
94063,2
97759,2
91770,2
95230,2
92088,2
91978,2
80241,1
95694,1
74023,1
75205,1
98177,1
92257,1
97116,1
01104,1
80122,1
15203,1
94530,1
90065,1
99708,1
95823,1
84403,1
98629,1
76002,1
71923,1
92366,1
92856,1
92549,1
96118,1
55396,1
92120,1
84043,1
46952,1
80123,1
37355,1
98027,1
93454,1
90221,1
30236,1
77204,1
99208,1
74501,1
85254,1
94019,1
97202,1
59832,1
90262,1
91301,1
93436,1
80127,1
81521,1
80911,1
83714,1
80134,1
80921,1
94553,1
38242,1
98065,1
10901,1
95819,1
32810,1
68516,1
93401,1
91011,1
60585,1
79912,1
97078,1
57103,1
98938,1
92323,1
73013,1
91108,1
97138,1
92427,1
75077,1
95129,1
29621,1
92612,1
85234,1
97405,1
59911,1
93722,1
98292,1
98502,1
85194,1
96814,1
94110,1
77879,1
30088,1
48442,1
98374,1
24073,1
79423,1
62221,1
95618,1
85395,1
89134,1
99586,1
95206,1
97055,1
89129,1
98077,1
75071,1
49301,1
92659,1
93532,1
95928,1
92264,1
95969,1
95776,1
76065,1
92342,1
86504,1
79606,1
89138,1
35553,1
68116,1
46310,1
98801,1
76638,1
48371,1
66205,1
98626,1
98370,1
29466,1
85251,1
90670,1
85742,1
03304,1
73162,1
93036,1
90066,1
37221,1
83669,1
61704,1
81147,1
41339,1
37069,1
93111,1
96788,1
75063,1
10472,1
96145,1
85629,1
94057,1
94571,1
95127,1
97051,1
90017,1
10035,1
85710,1
85354,1
59061,1
90247,1
95470,1
92254,1
06340,1
99005,1
85704,1
77354,1
90802,1
37885,1
97367,1
02155,1
90008,1
99635,1
96819,1
33713,1
92225,1
78231,1
49548,1
19144,1
92782,1
78130,1
92153,1
92423,1
90003,1
90019,1
83616,1
98372,1
97103,1
89448,1
34952,1
92356,1
93723,1
97218,1
25428,1
94024,1
34787,1
59718,1
85374,1
64060,1
98103,1
76262,1
91208,1
93907,1
34739,1
55436,1
97754,1
30115,1
92358,1
99223,1
91326,1
38134,1
83687,1
93309,1
33637,1
75227,1
21114,1
98258,1
99218,1
19462,1
45177,1
23434,1
91776,1
85224,1
94535,1
94542,1
90241,1
90304,1
50263,1
95722,1
76016,1
37743,1
80219,1
93272,1
80128,1
92701,1
60452,1
92841,1
99517,1
92536,1
59741,1
80831,1
94089,1
77070,1
77064,1
53076,1
80020,1
92178,1
49712,1
92331,1
84057,1
37932,1
85143,1
92655,1
98682,1
22026,1
89113,1
07070,1
34212,1
92281,1
55449,1
99301,1
84790,1
75189,1
90001,1
96782,1
91911,1
92123,1
95926,1
92676,1
92251,1
85381,1
80205,1
80021,1
93705,1
95834,1
91040,1
87120,1
92531,1
99709,1
30277,1
61571,1
60193,1
12569,1
95045,1
29492,1
85739,1
76001,1
80023,1
98362,1
74137,1
34741,1
88001,1
72015,1
80033,1
27587,1
85901,1
96749,1
80922,1
55372,1
98685,1
06473,1
93908,1
80435,1
93263,1
98146,1
77316,1
90716,1
91201,1
89102,1
97124,1
85044,1
97230,1
95135,1
51503,1
93609,1
49506,1
90032,1
95130,1
92003,1
90039,1
75167,1
17011,1
91915,1
49024,1
89521,1
21042,1
20165,1
30213,1
93203,1
96825,1
85048,1
53916,1
55126,1
93063,1
11432,1
71901,1
86326,1
95457,1
92823,1
90305,1
85719,1
91331,1
95326,1
87109,1
91205,1
14481,1
93458,1
90501,1
43614,1
86315,1
90813,1
12083,1
75703,1
98003,1
96816,1
51041,1
93906,1
93539,1
93292,1
15235,1
91775,1
91754,1
92397,1
83501,1
00969,1
64139,1
70301,1
92114,1
14580,1
87105,1
80907,1
19508,1
53719,1
95650,1
99352,1
55125,1
95070,1
92249,1
98662,1
92075,1
30268,1
30625,1
51238,1
85255,1
85024,1
84065,1
21219,1
74006,1
38053,1
93308,1
38017,1
38654,1
40245,1
85340,1
36351,1
24503,1
98665,1
30722,1
96768,1
15139,1
93222,1
98520,1
94580,1
55129,1
98272,1
91304,1
30040,1
40216,1
85053,1
85209,1
97008,1
95012,1
94566,1
46373,1
30276,1
44313,1
94928,1
98155,1
86301,1
94014,1
44601,1
01056,1
85308,1
43050,1
99567,1
13078,1
85260,1
21122,1
17555,1
81230,1
76248,1
33803,1
33909,1
93651,1
99669,1
48141,1
64118,1
93601,1
92809,1
06013,1
80106,1
27591,1
20132,1
91801,1
94551,1
46142,1
90061,1
20148,1
85050,1
23233,1
93654,1
75078,1
96754,1
28097,1
80120,1
96136,1
97703,1
96707,1
93390,1
85331,1
98026,1
60542,1
85207,1
95831,1
90025,1
89123,1
93657,1
95663,1
94062,1
28056,1
63116,1
22152,1
93726,1
48187,1
83835,1
97524,1
91311,1
89139,1
96349,1
98273,1
95833,1
77479,1
94533,1
80132,1
39532,1
53036,1
925,1
92310,1
49002,1
87124,1
98382,1
37027,1
32506,1
80007,1
80234,1
80126,1
90220,1
75043,1
95628,1
17325,1
92401,1
94404,1
98020,1
01523,1
50325,1
80550,1
99362,1
55407,1
98407,1
93737,1
92126,1
90403,1
15601,1
73159,1
95136,1
55112,1
91302,1
93105,1
98512,1
97501,1
95110,1
77035,1
98290,1
98683,1
90045,1
95655,1
89104,1
92657,1
98058,1
72903,1
95247,1
67951,1
95139,1
95401,1
95023,1
18104,1
77584,1
84070,1
91602,1
93643,1
67063,1
95062,1
85741,1
96001,1
76687,1
90230,1
80305,1
93527,1
19543,1
91941,1
92802,1
97128,1
90804,1
91601,1
94619,1
99205,1
83877,1
35242,1
93442,1
93060,1
89011,1
92284,1
90040,1
77581,1
85296,1
94555,1
93940,1
98235,1
95075,1
97362,1
92055,1
94710,1
94087,1
95386,1
95620,1
94577,1
76137,1
98208,1
27539,1
89410,1
38913,1
96007,1
90290,1
94552,1
80634,1
89145,1
57702,1
91962,1
76013,1
99577,1
95973,1
27006,1
77005,1
94015,1
90266,1
98042,1
95320,1
43950,1
98006,1
94041,1
98022,1
74033,1
06830,1
72401,1
30188,1
92539,1
70094,1
92502,1
77345,1
99203,1
93422,1
75070,1
98264,1
98274,1
94539,1
91361,1
91381,1
95006,1
92241,1
68137,1
14505,1
95531,1
95324,1
95215,1
98075,1
98444,1
95987,1
93927,1
98366,1
83002,1
89107,1
07677,1
93560,1
30114,1
90013,1
93618,1
95838,1
85258,1
97303,1
49546,1
95204,1
78730,1
86406,1
94101,1
34205,1
37174,1
97035,1
85743,1
55330,1
39232,1
89441,1
16066,1
06067,1
61525,1
95368,1
95348,1
78132,1
92109,1
94558,1
77339,1
81623,1
95125,1
97013,1
75056,1
93646,1
97401,1
43023,1
72032,1
76210,1
95122,1
98607,1
94127,1
60555,1
12816,1
91203,1
90806,1
76092,1
90680,1
93534,1
